utility,date,lat,lon,year,source_file
PGE,2020-05-17,35.302612,-118.843025,2020,pge_2020.xlsx
PGE,2020-05-17,36.1317117,-121.0239267,2020,pge_2020.xlsx
PGE,2020-05-20,35.15588,-119.4841617,2020,pge_2020.xlsx
PGE,2020-05-20,38.8960890033,-121.219320936,2020,pge_2020.xlsx
PGE,2020-05-21,36.65943,-121.61272,2020,pge_2020.xlsx
PGE,2020-05-22,39.66293,-121.7758633,2020,pge_2020.xlsx
PGE,2020-05-23,35.86181,-119.912175,2020,pge_2020.xlsx
PGE,2020-05-24,36.0688317,-120.2222883,2020,pge_2020.xlsx
PGE,2020-05-24,37.98137,-122.0489083,2020,pge_2020.xlsx
PGE,2020-05-25,37.43135,-121.9637933,2020,pge_2020.xlsx
PGE,2020-05-25,38.442949,-121.859359,2020,pge_2020.xlsx
PGE,2020-05-26,36.503371,-120.391945,2020,pge_2020.xlsx
PGE,2020-05-26,36.514175,-119.277815,2020,pge_2020.xlsx
PGE,2020-05-26,36.66937,-119.736803,2020,pge_2020.xlsx
PGE,2020-05-26,37.509725,-121.95458,2020,pge_2020.xlsx
PGE,2020-05-26,37.5288883,-121.9883433,2020,pge_2020.xlsx
PGE,2020-05-26,37.642372,-122.083426,2020,pge_2020.xlsx
PGE,2020-05-26,38.23445,-121.25428,2020,pge_2020.xlsx
PGE,2020-05-27,38.4033070114,-122.0405770465,2020,pge_2020.xlsx
PGE,2020-05-27,38.471305,-120.979952,2020,pge_2020.xlsx
PGE,2020-05-27,39.0136917,-121.053185,2020,pge_2020.xlsx
PGE,2020-05-28,37.5497633,-121.9810767,2020,pge_2020.xlsx
PGE,2020-05-28,38.498617,-122.431599,2020,pge_2020.xlsx
PGE,2020-05-29,35.530364,-118.97943,2020,pge_2020.xlsx
PGE,2020-05-29,35.609539,-120.625518,2020,pge_2020.xlsx
PGE,2020-05-29,37.3452065298,-121.9139068388,2020,pge_2020.xlsx
PGE,2020-06-01,38.074838,-122.229464,2020,pge_2020.xlsx
PGE,2020-06-01,39.3048176405,-121.850411436,2020,pge_2020.xlsx
PGE,2020-06-02,35.3878,-120.8227,2020,pge_2020.xlsx
PGE,2020-06-02,36.313601235,-119.7639947,2020,pge_2020.xlsx
PGE,2020-06-02,36.6401633,-119.3881933,2020,pge_2020.xlsx
PGE,2020-06-02,37.599076,-122.041693,2020,pge_2020.xlsx
PGE,2020-06-02,38.3242217,-122.0206517,2020,pge_2020.xlsx
PGE,2020-06-03,35.1945633,-118.7644567,2020,pge_2020.xlsx
PGE,2020-06-03,35.5724317,-119.3569667,2020,pge_2020.xlsx
PGE,2020-06-03,37.3490361543,-122.1052850277,2020,pge_2020.xlsx
PGE,2020-06-03,38.1321933,-121.1425133,2020,pge_2020.xlsx
PGE,2020-06-04,37.273723,-121.722422,2020,pge_2020.xlsx
PGE,2020-06-04,37.2853904498,-121.9255111748,2020,pge_2020.xlsx
PGE,2020-06-04,37.7153579144,-122.150838659,2020,pge_2020.xlsx
PGE,2020-06-04,37.79209,-121.201769,2020,pge_2020.xlsx
PGE,2020-06-04,38.170155,-120.6673317,2020,pge_2020.xlsx
PGE,2020-06-04,38.716732,-121.751975,2020,pge_2020.xlsx
PGE,2020-06-06,34.636858,-120.024907,2020,pge_2020.xlsx
PGE,2020-06-06,38.1772643365,-121.3993204436,2020,pge_2020.xlsx
PGE,2020-06-06,38.26603999,-121.60146,2020,pge_2020.xlsx
PGE,2020-06-06,38.438555,-122.732313,2020,pge_2020.xlsx
PGE,2020-06-06,38.6720617,-121.8998033,2020,pge_2020.xlsx
PGE,2020-06-07,36.279888,-121.088573,2020,pge_2020.xlsx
PGE,2020-06-07,38.376731,-122.813684,2020,pge_2020.xlsx
PGE,2020-06-07,38.832393,-123.623317,2020,pge_2020.xlsx
PGE,2020-06-08,37.316136,-120.45576,2020,pge_2020.xlsx
PGE,2020-06-08,38.3075383,-122.496105,2020,pge_2020.xlsx
PGE,2020-06-09,37.9993567,-121.225005,2020,pge_2020.xlsx
PGE,2020-06-10,37.4251283,-119.9579783,2020,pge_2020.xlsx
PGE,2020-06-10,37.76458,-121.58447,2020,pge_2020.xlsx
PGE,2020-06-10,38.546235,-122.350067,2020,pge_2020.xlsx
PGE,2020-06-10,38.584383,-122.6612,2020,pge_2020.xlsx
PGE,2020-06-10,38.5896467,-121.714125,2020,pge_2020.xlsx
PGE,2020-06-11,35.070022,-119.13069,2020,pge_2020.xlsx
PGE,2020-06-11,36.4391633,-119.4258167,2020,pge_2020.xlsx
PGE,2020-06-11,39.9073717,-122.0857383,2020,pge_2020.xlsx
PGE,2020-06-12,36.5850967,-119.4575533,2020,pge_2020.xlsx
PGE,2020-06-12,37.185929,-120.590043,2020,pge_2020.xlsx
PGE,2020-06-12,40.502638,-122.451295,2020,pge_2020.xlsx
PGE,2020-06-13,35.493034,-120.213192,2020,pge_2020.xlsx
PGE,2020-06-13,37.64858857,-121.7208808,2020,pge_2020.xlsx
PGE,2020-06-13,38.794292,-123.022498,2020,pge_2020.xlsx
PGE,2020-06-14,34.635842,-120.28179,2020,pge_2020.xlsx
PGE,2020-06-15,35.009211,-119.067499,2020,pge_2020.xlsx
PGE,2020-06-15,35.00923742,-119.067649311,2020,pge_2020.xlsx
PGE,2020-06-15,38.8527,-121.1774967,2020,pge_2020.xlsx
PGE,2020-06-16,38.556813,-122.45442,2020,pge_2020.xlsx
PGE,2020-06-16,39.1254486,-122.995017,2020,pge_2020.xlsx
PGE,2020-06-17,38.9663817,-122.62668,2020,pge_2020.xlsx
PGE,2020-06-17,39.13086,-121.5519267,2020,pge_2020.xlsx
PGE,2020-06-18,37.4633445968,-121.868033311,2020,pge_2020.xlsx
PGE,2020-06-18,38.34046,-120.717496,2020,pge_2020.xlsx
PGE,2020-06-18,38.368748,-122.410059,2020,pge_2020.xlsx
PGE,2020-06-18,38.890379,-121.353602,2020,pge_2020.xlsx
PGE,2020-06-19,38.418073,-120.822241,2020,pge_2020.xlsx
PGE,2020-06-19,38.788705,-121.721896,2020,pge_2020.xlsx
PGE,2020-06-19,38.903645,-121.413945,2020,pge_2020.xlsx
PGE,2020-06-19,39.48897537,-121.55114237,2020,pge_2020.xlsx
PGE,2020-06-20,36.5230383,-121.4648383,2020,pge_2020.xlsx
PGE,2020-06-20,37.71164,-120.19279,2020,pge_2020.xlsx
PGE,2020-06-20,39.364965,-121.5511483,2020,pge_2020.xlsx
PGE,2020-06-21,35.616105,-119.6173517,2020,pge_2020.xlsx
PGE,2020-06-21,36.8058467,-121.3752567,2020,pge_2020.xlsx
PGE,2020-06-21,36.86319,-121.49112,2020,pge_2020.xlsx
PGE,2020-06-21,37.326397,-121.840241,2020,pge_2020.xlsx
PGE,2020-06-21,37.683655,-122.480609,2020,pge_2020.xlsx
PGE,2020-06-22,35.21533,-119.391184,2020,pge_2020.xlsx
PGE,2020-06-22,35.33965,-119.151249,2020,pge_2020.xlsx
PGE,2020-06-22,36.7869555965,-120.3706410089,2020,pge_2020.xlsx
PGE,2020-06-22,37.3683683,-120.49432,2020,pge_2020.xlsx
PGE,2020-06-22,37.99761,-121.30255,2020,pge_2020.xlsx
PGE,2020-06-22,38.52705999,-122.796269,2020,pge_2020.xlsx
PGE,2020-06-22,38.9263433,-121.4203733,2020,pge_2020.xlsx
PGE,2020-06-22,40.3491833,-124.0201733,2020,pge_2020.xlsx
PGE,2020-06-23,36.6838977654,-119.7370688328,2020,pge_2020.xlsx
PGE,2020-06-23,37.22708,-119.67333,2020,pge_2020.xlsx
PGE,2020-06-23,39.052373,-121.037117,2020,pge_2020.xlsx
PGE,2020-06-23,39.213322,-121.206518,2020,pge_2020.xlsx
PGE,2020-06-23,40.488084,-122.538387,2020,pge_2020.xlsx
PGE,2020-06-24,36.2092,-120.301469,2020,pge_2020.xlsx
PGE,2020-06-24,38.018629,-121.607901,2020,pge_2020.xlsx
PGE,2020-06-24,39.26516888,-121.54604652,2020,pge_2020.xlsx
PGE,2020-06-25,36.787267,-119.771273,2020,pge_2020.xlsx
PGE,2020-06-25,37.94053,-122.05242,2020,pge_2020.xlsx
PGE,2020-06-26,36.7854581,-119.7751597,2020,pge_2020.xlsx
PGE,2020-06-26,40.020901,-122.447813,2020,pge_2020.xlsx
PGE,2020-06-26,40.887,-122.369235,2020,pge_2020.xlsx
PGE,2020-06-27,35.379523,-118.957318,2020,pge_2020.xlsx
PGE,2020-06-27,36.2746867,-119.798665,2020,pge_2020.xlsx
PGE,2020-06-27,37.6985,-122.0206,2020,pge_2020.xlsx
PGE,2020-06-27,38.2579733,-122.78168,2020,pge_2020.xlsx
PGE,2020-06-27,38.30036,-122.7435,2020,pge_2020.xlsx
PGE,2020-06-27,38.715556092,-122.0470592926,2020,pge_2020.xlsx
PGE,2020-06-27,39.2577112271,-121.1829744951,2020,pge_2020.xlsx
PGE,2020-06-27,39.775805,-121.8583533,2020,pge_2020.xlsx
PGE,2020-06-28,36.007244,-120.121964,2020,pge_2020.xlsx
PGE,2020-06-28,38.75828,-121.497725,2020,pge_2020.xlsx
PGE,2020-06-28,41.043503,-124.107627,2020,pge_2020.xlsx
PGE,2020-06-29,37.34796,-119.714926,2020,pge_2020.xlsx
PGE,2020-06-29,37.597599,-122.035037,2020,pge_2020.xlsx
PGE,2020-06-29,38.154761,-121.722861,2020,pge_2020.xlsx
PGE,2020-06-29,38.3107033,-121.8689617,2020,pge_2020.xlsx
PGE,2020-06-29,39.897126,-122.18162,2020,pge_2020.xlsx
PGE,2020-06-30,37.961997,-121.329697,2020,pge_2020.xlsx
PGE,2020-06-30,38.08417,-121.151319,2020,pge_2020.xlsx
PGE,2020-07-01,35.635034,-118.967045,2020,pge_2020.xlsx
PGE,2020-07-02,40.3396,-123.8706,2020,pge_2020.xlsx
PGE,2020-07-03,34.82076,-120.28871,2020,pge_2020.xlsx
PGE,2020-07-03,37.7882683,-120.7877117,2020,pge_2020.xlsx
PGE,2020-07-03,38.463,-121.14125,2020,pge_2020.xlsx
PGE,2020-07-03,39.7403833,-122.2091517,2020,pge_2020.xlsx
PGE,2020-07-03,39.762164,-121.881948,2020,pge_2020.xlsx
PGE,2020-07-05,35.56474,-120.2636,2020,pge_2020.xlsx
PGE,2020-07-05,37.52289,-122.34839,2020,pge_2020.xlsx
PGE,2020-07-05,38.893614,-122.741125,2020,pge_2020.xlsx
PGE,2020-07-06,35.64742,-120.5610983,2020,pge_2020.xlsx
PGE,2020-07-06,38.911114,-121.103445,2020,pge_2020.xlsx
PGE,2020-07-06,40.6125467,-122.494245,2020,pge_2020.xlsx
PGE,2020-07-07,36.530965,-119.4304317,2020,pge_2020.xlsx
PGE,2020-07-08,37.559927,-120.323418,2020,pge_2020.xlsx
PGE,2020-07-09,37.299138,-122.013923,2020,pge_2020.xlsx
PGE,2020-07-09,38.0901883,-121.1817417,2020,pge_2020.xlsx
PGE,2020-07-09,38.4025117,-121.9055,2020,pge_2020.xlsx
PGE,2020-07-09,39.70471,-121.83509,2020,pge_2020.xlsx
PGE,2020-07-09,40.5411,-124.064,2020,pge_2020.xlsx
PGE,2020-07-10,38.1334,-122.253575,2020,pge_2020.xlsx
PGE,2020-07-10,38.80874,-121.45134,2020,pge_2020.xlsx
PGE,2020-07-10,39.1721,-123.7452,2020,pge_2020.xlsx
PGE,2020-07-11,35.670979,-120.737064,2020,pge_2020.xlsx
PGE,2020-07-11,37.193698,-119.495463,2020,pge_2020.xlsx
PGE,2020-07-11,38.88482,-120.99611,2020,pge_2020.xlsx
PGE,2020-07-12,37.2345320813,-121.9310660682,2020,pge_2020.xlsx
PGE,2020-07-12,38.254344,-122.161152,2020,pge_2020.xlsx
PGE,2020-07-12,40.144813,-123.982362,2020,pge_2020.xlsx
PGE,2020-07-12,40.4178,-122.24943,2020,pge_2020.xlsx
PGE,2020-07-14,37.299121,-121.964256,2020,pge_2020.xlsx
PGE,2020-07-14,38.37673,-120.865131,2020,pge_2020.xlsx
PGE,2020-07-15,37.422309,-119.96126,2020,pge_2020.xlsx
PGE,2020-07-15,37.7417415829,-121.5258358178,2020,pge_2020.xlsx
