lat,lon,year,name
39.78405,-121.59739,2022,Butte - PARADISE 1106 - 3rd Party
38.48806,-122.38568,2022,Napa - SILVERADO 2102 - Equipment
35.50909,-120.71204,2022,San Luis Obispo - TEMPLETON 2111 - Equipment
38.35556,-122.48963,2022,Sonoma - DUNBAR 1101 - Unknown
38.66065,-120.98793,2022,El Dorado - SHINGLE SPRINGS 2108 - Unknown
35.21197,-120.70549,2022,San Luis Obispo - SAN LUIS OBISPO 1107 - Equipment
38.14103,-120.93242,2022,Calaveras - CORRAL 1101 - Unknown
38.88068,-121.1124,2022,Placer - WISE 1101 - Animal
39.65941,-121.40629,2022,Butte - BIG BEND 1102 - Unknown
38.87762,-120.95859,2022,El Dorado - MOUNTAIN QUARRIES 2101 - Unknown
39.20114,-121.19767,2022,Nevada - NARROWS 2105 - Animal
39.66145,-121.57291,2022,Butte - CLARK ROAD 1102 - Unknown
40.33632,-122.39889,2022,Tehama - COTTONWOOD 1101 - Unknown
37.16335,-122.00153,2022,Santa Clara - LOS GATOS 1106 - Unknown
38.48806,-122.38568,2022,Napa - SILVERADO 2102 - Unknown
37.08268,-122.0578,2022,Santa Cruz - CAMP EVERS 2105 - Unknown
38.48251,-123.07517,2022,Sonoma - MONTE RIO 1111 - Unknown
35.47419,-120.67145,2022,San Luis Obispo - ATASCADERO 1101 - Unknown
39.75375,-121.58871,2022,Butte - PARADISE 1104 - Unknown
34.6311,-120.0564,2022,Santa Barbara - SANTA YNEZ 1104 - Company Initiated
38.43098,-121.96267,2022,Solano - VACA DIXON 1105 - 3rd Party
38.84079,-121.12009,2022,Placer - PENRYN 1103 - Vegetation
39.20114,-121.19767,2022,Nevada - NARROWS 2105 - Vegetation
37.08354,-121.98507,2022,Santa Cruz - CAMP EVERS 2106 - Unknown
37.08354,-121.98507,2022,Santa Cruz - CAMP EVERS 2106 - 3rd Party
38.48806,-122.38568,2022,Napa - SILVERADO 2102 - Equipment
37.35906,-119.72919,2022,Madera - OAKHURST 1101 - Vegetation
38.24131,-122.15798,2022,Solano - JAMESON 1102 - Unknown
38.70958,-123.00093,2022,Sonoma - GEYSERVILLE 1101 - Unknown
