lat,lon,year,date,end_date,name,county,circuit,cause,outage_type,division,customer_minutes,restoration_min,medical_baseline,life_support,schools,hospitals
34.67252,-120.07695,2022,2022-05-04,2022-05-04,ZACA 1102,Santa Barbara,ZACA 1102,Unknown,FTS,Los Padres,24944,62,17,8,1,0
35.99487,-121.2179,2022,2022-05-06,2022-05-06,JOLON 1103,Monterey,JOLON 1103,Unknown,FTS,Central Coast,3600,180,0,0,0,0
35.51258,-120.27736,2022,2022-05-06,2022-05-07,CHOLAME 2102,San Luis Obispo,CHOLAME 2102,Animal,FTS,Los Padres,63473,405,8,4,2,0
35.81584,-120.95504,2022,2022-05-07,2022-05-07,OILFIELDS 1103,San Luis Obispo,OILFIELDS 1103,Unknown,FTS,Central Coast,45928,86,28,18,1,0
36.8724,-119.55169,2022,2022-05-11,2022-05-11,COPPERMINE 1104,Fresno,COPPERMINE 1104,Equipment,FTS,Fresno,37100,350,9,9,0,0
36.76993,-119.30893,2022,2022-05-11,2022-05-11,TIVY VALLEY 1107,Fresno,TIVY VALLEY 1107,Unknown,FTS,Fresno,83200,160,47,28,0,0
35.45977,-120.52856,2022,2022-05-11,2022-05-12,TEMPLETON 2113,San Luis Obispo,TEMPLETON 2113,Unknown,FTS,Los Padres,759076,460,92,69,2,0
36.8724,-119.55169,2022,2022-05-12,2022-05-12,COPPERMINE 1104,Fresno,COPPERMINE 1104,Equipment,FTS,Fresno,44414,419,9,9,0,0
36.17885,-121.16466,2022,2022-05-12,2022-05-13,KING CITY 1103,Monterey,KING CITY 1103,Animal,FTS,Central Coast,264244,1054,52,39,0,0
35.45977,-120.52856,2022,2022-05-14,2022-05-14,TEMPLETON 2113,San Luis Obispo,TEMPLETON 2113,Animal,FTS,Los Padres,166477,181,65,44,0,0
35.21197,-120.70549,2022,2022-05-14,2022-05-14,SAN LUIS OBISPO 1107,San Luis Obispo,SAN LUIS OBISPO 1107,Unknown,FTS,Los Padres,89698,86,39,27,0,0
38.16406,-120.40199,2022,2022-05-15,2022-05-16,STANISLAUS 1701,Calaveras,STANISLAUS 1701,Equipment,FTS,Yosemite,435033,1094,62,42,0,0
38.00038,-121.89145,2022,2022-05-15,2022-05-15,KIRKER 2104,Contra Costa,KIRKER 2104,Animal,FTS,Diablo,992190,285,452,286,9,0
35.14447,-120.55768,2022,2022-05-16,2022-05-16,OCEANO 1104,San Luis Obispo,OCEANO 1104,Company Initiated,HLT,Los Padres,11180,65,11,11,0,0
37.23969,-119.76405,2022,2022-05-16,2022-05-16,COARSEGOLD 2104,Madera,COARSEGOLD 2104,Company Initiated,FTS,Yosemite,429158,106,486,354,9,0
35.60818,-118.93159,2022,2022-05-16,2022-05-17,POSO MOUNTAIN 2101,Kern,POSO MOUNTAIN 2101,3rd Party,FTS,Kern,10640,1624,0,0,0,0
36.71051,-118.93965,2022,2022-05-16,2022-05-17,DUNLAP 1102,Tulare,DUNLAP 1102,Equipment,FTS,Fresno,66448,1478,0,0,0,0
38.76454,-122.11113,2022,2022-05-17,2022-05-17,MADISON 2101,Yolo,MADISON 2101,Unknown,FTS,Sacramento,321345,457,18,8,12,0
38.57734,-121.95282,2022,2022-05-18,2022-05-18,PUTAH CREEK 1105,Yolo,PUTAH CREEK 1105,Equipment,FTS,Sacramento,1250,125,0,0,0,0
38.57734,-121.95282,2022,2022-05-18,2022-05-18,PUTAH CREEK 1105,Yolo,PUTAH CREEK 1105,Equipment,FTS,Sacramento,810,81,0,0,0,0
39.35331,-121.08345,2022,2022-05-18,2022-05-18,COLUMBIA HILL 1101,Nevada,COLUMBIA HILL 1101,Vegetation,FTS,Sierra,25928,580,41,36,2,0
38.05897,-120.18979,2022,2022-05-18,2022-05-18,MIWUK 1701,Tuolumne,MIWUK 1701,Equipment,FTS,Yosemite,282972,310,51,38,1,0
38.58834,-122.43888,2022,2022-05-19,2022-05-19,SILVERADO 2104,Napa,SILVERADO 2104,Vegetation,FTS,North Bay,1362451,761,111,71,9,21
38.66065,-120.98793,2022,2022-05-19,2022-05-19,SHINGLE SPRINGS 2108,El Dorado,SHINGLE SPRINGS 2108,Animal,FTS,Sierra,724441,272,242,163,3,0
39.58422,-122.25754,2022,2022-05-19,2022-05-19,LOGAN CREEK 2102,Glenn,LOGAN CREEK 2102,Equipment,FTS,North Valley,24072,177,3,3,0,0
38.51226,-122.99479,2022,2022-05-19,2022-05-19,MONTE RIO 1113,Sonoma,MONTE RIO 1113,Animal,FTS,Sonoma,67360,376,36,22,5,0
38.64019,-120.85553,2022,2022-05-19,2022-05-19,DIAMOND SPRINGS 1105,El Dorado,DIAMOND SPRINGS 1105,Unknown,FTS,Sierra,117457,127,100,53,7,0
38.76454,-122.11113,2022,2022-05-19,2022-05-20,MADISON 2101,Yolo,MADISON 2101,3rd Party,FTS,Sacramento,1366043,1253,108,74,26,0
38.46282,-122.19143,2022,2022-05-19,2022-05-20,MONTICELLO 1101,Napa,MONTICELLO 1101,3rd Party,FTS,North Bay,286786,699,65,45,1,0
39.84971,-121.59851,2022,2022-05-19,2022-05-19,ORO FINO 1101,Butte,ORO FINO 1101,Animal,FTS,North Valley,257544,186,283,214,1,0
36.09916,-121.02086,2022,2022-05-19,2022-05-19,SAN ARDO 1101,Monterey,SAN ARDO 1101,Unknown,FTS,Central Coast,2492,124,0,0,0,0
40.26062,-122.24261,2022,2022-05-19,2022-05-20,RED BLUFF 1104,Tehama,RED BLUFF 1104,Unknown,FTS,North Valley,390795,1022,77,45,1,0
35.59842,-120.82783,2022,2022-05-19,2022-05-20,TEMPLETON 2110,San Luis Obispo,TEMPLETON 2110,Equipment,FTS,Los Padres,248602,926,7,7,0,0
40.07416,-122.19623,2022,2022-05-19,2022-05-20,GERBER 1102,Tehama,GERBER 1102,Animal,FTS,North Valley,18980,146,2,1,0,0
