lat,lon,year,name
38.27363,-122.57607,2020,CPUC ignition 2020-09-27
37.78848,-121.76995,2020,CPUC ignition 2020-09-27
40.44915,-122.30893,2020,CPUC ignition 2020-09-27
37.99709,-123.01563,2020,CPUC ignition 2020-09-27
39.12809,-121.63918,2020,CPUC ignition 2020-09-26
39.26526,-121.52936,2020,CPUC ignition 2020-09-24
38.22629,-122.53119,2020,CPUC ignition 2020-09-23
37.68691,-122.14699,2020,CPUC ignition 2020-09-23
36.81848,-121.45068,2020,CPUC ignition 2020-09-23
38.09647,-121.52144,2020,CPUC ignition 2020-09-22
38.60626,-121.02263,2020,CPUC ignition 2020-09-21
39.46847,-121.57749,2020,CPUC ignition 2020-09-21
36.53339,-121.42382,2020,CPUC ignition 2020-09-20
34.41321,-119.08114,2020,CPUC ignition 2020-09-18
38.71882,-121.78414,2020,CPUC ignition 2020-09-18
38.42634,-122.68451,2020,CPUC ignition 2020-09-18
36.5551,-119.24216,2020,CPUC ignition 2020-09-17
38.83379,-121.18939,2020,CPUC ignition 2020-09-17
37.691,-122.41263,2020,CPUC ignition 2020-09-16
36.01766,-119.47365,2020,CPUC ignition 2020-09-14
37.87967,-120.4571,2020,CPUC ignition 2020-09-12
38.9564,-121.10616,2020,CPUC ignition 2020-09-11
38.16854,-120.39128,2020,CPUC ignition 2020-09-09
40.01825,-122.08765,2020,CPUC ignition 2020-09-08
38.44788,-121.85831,2020,CPUC ignition 2020-09-08
37.6535,-121.67392,2020,CPUC ignition 2020-09-08
40.43737,-122.29907,2020,CPUC ignition 2020-09-08
40.18649,-122.21408,2020,CPUC ignition 2020-09-08
40.4684,-122.31137,2020,CPUC ignition 2020-09-08
37.94868,-122.52011,2020,CPUC ignition 2020-09-07
37.00082,-121.88509,2020,CPUC ignition 2020-09-07
38.83104,-123.04714,2020,CPUC ignition 2020-09-07
36.54593,-121.3914,2020,CPUC ignition 2020-09-07
37.01735,-122.12241,2020,CPUC ignition 2020-09-06
36.8737,-121.58543,2020,CPUC ignition 2020-09-06
41.24925,-123.76695,2020,CPUC ignition 2020-09-06
37.79768,-121.45478,2020,CPUC ignition 2020-09-06
38.9551,-123.59108,2020,CPUC ignition 2020-09-06
34.60257,-120.14624,2020,CPUC ignition 2020-09-06
35.5055,-119.68953,2020,CPUC ignition 2020-09-06
40.11286,-123.74982,2020,CPUC ignition 2020-09-05
39.20027,-120.83827,2020,CPUC ignition 2020-09-05
37.23621,-121.93641,2020,CPUC ignition 2020-09-05
36.58657,-121.60165,2020,CPUC ignition 2020-09-05
37.4879,-122.21186,2020,CPUC ignition 2020-09-04
34.66647,-120.13276,2020,CPUC ignition 2020-09-03
34.89759,-120.29761,2020,CPUC ignition 2020-09-01
39.40851,-121.28998,2020,CPUC ignition 2020-09-01
38.64142,-121.58953,2020,CPUC ignition 2020-08-31
37.68779,-121.41619,2020,CPUC ignition 2020-08-30
36.78185,-119.81126,2020,CPUC ignition 2020-08-30
39.486,-121.5062,2020,CPUC ignition 2020-08-30
39.5638,-123.40238,2020,CPUC ignition 2020-08-26
38.11309,-121.403,2020,CPUC ignition 2020-08-26
37.91855,-122.55477,2020,CPUC ignition 2020-08-25
